"outcome","group","estimate","std.error","conf.low","conf.high"
"Happy","Full Sample",0.0477440975516208,0.00827110198802573,0.0315327376550904,0.0639554574481512
"Happy","Women",0.0580984714357317,0.0115568499901126,0.0354470454551111,0.0807498974163524
"Happy","Men",0.0367621283508799,0.0120091830695779,0.0132241295345072,0.0603001271672525
"Life_Satisfaction","Full Sample",0.0488167898176059,0.00763364873805309,0.0338548382910219,0.06377874134419
"Life_Satisfaction","Women",0.0577881310489516,0.0104053738750964,0.0373935982537626,0.0781826638441406
"Life_Satisfaction","Men",0.0393048516390297,0.0113590687496297,0.0170410768897555,0.0615686263883039
"General_Health","Full Sample",0.0358656965957189,0.00972089835524725,0.0168127358194343,0.0549186573720035
"General_Health","Women",0.0521337702251109,0.0122035451741513,0.0282148216837745,0.0760527187664474
"General_Health","Men",0.0187407407646579,0.0152593134577179,-0.0111675136124691,0.048648995141785
"Drink_Alcohol","Full Sample",0.0133036385316647,0.0113884732058105,-0.00901776895172385,0.0356250460150532
"Drink_Alcohol","Women",0.00261479744934268,0.0153077926414797,-0.0273884761279575,0.0326180710266429
"Drink_Alcohol","Men",0.0246403475274452,0.0170687301363855,-0.00881436353987045,0.0580950585947608
"Sports_Exercise","Full Sample",0.127862349453444,0.0193511301822261,0.0899341342962806,0.165790564610607
"Sports_Exercise","Women",0.172474804682455,0.02558138964246,0.122335280983234,0.222614328381677
"Sports_Exercise","Men",0.0808596703230132,0.0291555552253418,0.0237147820813433,0.138004558564683
"Volunteering","Full Sample",0.102719046943849,0.0194109884367173,0.0646735096078833,0.140764584279815
"Volunteering","Women",0.0581577259650837,0.0249311627384823,0.00929264699765835,0.107022804932509
"Volunteering","Men",0.149650448884927,0.0294929936001864,0.091844181428562,0.207456716341293
"Help_Community","Full Sample",0.0439257160691494,0.0189148148441937,0.0068526789745298,0.0809987531637691
"Help_Community","Women",0.0257052841457362,0.0246289330512358,-0.0225674246346859,0.0739779929261583
"Help_Community","Men",0.0631152372807229,0.0287145155288328,0.00683478684421052,0.119395687717235
"At_Risk_Gambling","Full Sample",-0.0484836686485169,0.0140342940392129,-0.0759908849653741,-0.0209764523316596
"At_Risk_Gambling","Women",-0.0513881806436165,0.017896064213119,-0.0864644665013296,-0.0163118947859033
"At_Risk_Gambling","Men",-0.0454246745053752,0.0218218459669056,-0.0881954926005101,-0.00265385641024023
"Currently_Smokes","Full Sample",-0.0148371045751159,0.012629341356022,-0.0395906136329191,0.0099164044826872
"Currently_Smokes","Women",-0.019586978167427,0.0160623072636969,-0.0510691004042729,0.0118951440694189
"Currently_Smokes","Men",-0.00983459967100219,0.0201266884545081,-0.0492829090418381,0.0296137096998337
"Currently_Vapes","Full Sample",-0.022297028157528,0.0131786482548569,-0.0481271787370475,0.00353312242199158
"Currently_Vapes","Women",-0.0344799628416455,0.0157892952484506,-0.0654269815286086,-0.00353294415468234
"Currently_Vapes","Men",-0.00946612027769481,0.021745219818998,-0.0520867511229308,0.0331545105675412
"Cannabis","Full Sample",0.00569360272368502,0.0183827228437308,-0.0303365340500274,0.0417237394973974
"Cannabis","Women",-0.0316197370259101,0.0233499728139287,-0.0773856837412103,0.0141462096893901
"Cannabis","Men",0.045007157038167,0.0284203003611774,-0.0106966316697407,0.100710945746075
"Ever_Gambled","Full Sample",0.00028308379413406,0.0195708907546886,-0.0380758620850557,0.0386420296733238
"Ever_Gambled","Women",-0.0186867266000886,0.0248879629069015,-0.0674671338976155,0.0300936806974383
"Ever_Gambled","Men",0.0202740459153072,0.0305466989324045,-0.0395974839922057,0.0801455758228201
