"outcome","valence","n","ate","se_ate","p_ate","diff_wf","se_diff","p_diff","p_ate_holm","p_diff_holm"
"Happy","positive",2879,0.0477440975516208,0.00827110198802573,8.66007576760808e-09,0.0213363430848519,0.0167824115049997,0.203707723319295,9.52608334436889e-08,1
"Life_Satisfaction","positive",2877,0.0488167898176059,0.00763364873805309,1.87133863960298e-10,0.0184832794099219,0.015495203485817,0.233032205660235,2.24560636752358e-09,1
"General_Health","positive",2877,0.0358656965957189,0.00972089835524725,0.000228871988919632,0.033393029460453,0.019520687828602,0.087255324195904,0.00183097591135706,0.87255324195904
"Sports_Exercise","positive",2879,0.127862349453444,0.0193511301822261,4.64968064051163e-11,0.0916151343594419,0.0388040364462342,0.0182944167058721,6.04458483266512e-10,0.226662799982054
"Volunteering","positive",2880,0.102719046943849,0.0194109884367173,1.30335742642984e-07,-0.0914927229198436,0.0384619910137851,0.0174355999986195,1.17302168378686e-06,0.226662799982054
"Help_Community","positive",2880,0.0439257160691494,0.0189148148441937,0.0202875260315241,-0.0374099531349867,0.0377371709104561,0.321609333053972,0.121725156189144,1
"Gives_Charity","positive",2880,0.0994370990346658,0.0179491361943481,3.3025968182443e-08,0.0116030684921138,0.036327145940578,0.749442969431145,3.3025968182443e-07,1
"Currently_Smokes","negative",2880,-0.0148371045751159,0.012629341356022,0.240168236572855,-0.00975237849642481,0.0260782210207014,0.708457208891179,0.960672946291422,1
"Currently_Vapes","negative",2880,-0.022297028157528,0.0131786482548569,0.0907735683804141,-0.0250138425639506,0.0271524596260542,0.357005048719146,0.45386784190207,1
"Cannabis","negative",2878,0.00569360272368502,0.0183827228437308,0.756792230323958,-0.0766268940640771,0.0367420212915663,0.0371095298381141,1,0.408204828219255
"Drink_Alcohol","negative",2879,0.0133036385316647,0.0113884732058105,0.242837395154424,-0.0220255500781025,0.0230182009989188,0.338711570147648,0.960672946291422,1
"Ever_Gambled","negative",2876,0.00028308379413406,0.0195708907546886,0.988460391265038,-0.0389607725153959,0.0394475337661338,0.323403121101522,1,1
"At_Risk_Gambling","negative",2880,-0.0484836686485169,0.0140342940392129,0.000559060059534655,-0.00596350613824133,0.0282328440544028,0.832726194328407,0.00391342041674259,1
