"outcome","ate_base","ate_adjusted","delta","p_mode_x_invite","p_mode_x_list","p_x_invite_holm","p_x_list_holm"
"Happy",0.0477440975516208,0.0478297744514862,8.56768998653834e-05,0.549088025678453,0.642203471139887,1,1
"Life_Satisfaction",0.0488167898176059,0.0487817145420719,-3.50752755340356e-05,0.439953482664689,0.629508753073305,1,1
"General_Health",0.0358656965957189,0.0357212198066719,-0.00014447678904702,0.377130553701547,0.686133217783297,1,1
"Sports_Exercise",0.127862349453444,0.127721284607049,-0.000141064846394895,0.839706201251736,0.994793264010941,1,1
"Volunteering",0.102719046943849,0.102857270105723,0.000138223161874035,0.255531310390952,0.519179636652565,1,1
"Help_Community",0.0439257160691494,0.0439127966618794,-1.29194072700858e-05,0.50086411359533,0.920024258157668,1,1
"Gives_Charity",0.0994370990346658,0.0995736149075842,0.000136515872918463,0.966777985782531,0.969000505014962,1,1
"Currently_Smokes",-0.0148371045751159,-0.0148089640116387,2.81405634772781e-05,0.327179970735211,0.540013386582438,1,1
"Currently_Vapes",-0.022297028157528,-0.0223747534291032,-7.77252715752005e-05,0.811681328619921,0.589349163257022,1,1
"Cannabis",0.00569360272368502,0.00537987092687668,-0.000313731796808337,0.0800638217902613,0.389263804955035,1,1
"Drink_Alcohol",0.0133036385316647,0.0129851399160224,-0.000318498615642298,0.388463125644598,0.195815634289061,1,1
"Ever_Gambled",0.00028308379413406,-0.000136206278906648,-0.000419290073040708,0.451150275091182,0.311135562158902,1,1
"At_Risk_Gambling",-0.0484836686485169,-0.0485121426561448,-2.84740076279544e-05,0.126376362536046,0.292833861898021,1,1
